Name,Sr_No,Nationality,PD,Gender,Competition,Result,TimePoint_Label,Happy,Sad,Angry,Surprised,Scared,Disgusted,Valence,Arousal,Neutral,Sighted_Blind,Group,Athlete_Code,PD_Code,SB_Code,Result_Code
Anna Tabea Müller,662,GER,Low,Female,Paralympic,Loss,Pre,0.0004495563879154535,0.01964344777124302,0.001412835380255814,0.0001617003563230465,0.000207703945200679,0.001676137967491349,-0.01970864354847674,0.1968977620930232,0.953385012093023,Blind,Low PD – Blind,53,0,1,0
Rocio D. Ledesma Dure,663,ARG,Low,Female,Paralympic,Loss,Pre,0.01971523903809524,0.1922234453809524,0.01096515899714286,0.001619131239714286,0.001498242108095238,0.005932226702857144,-0.1725082059047619,0.2447041361904762,0.6675134095238094,Blind,Low PD – Blind,486,0,1,0
Nadia Agostina Boggiano,664,ARG,Low,Female,Paralympic,Win,Pre,0.004709854144684369,0.007796013844635972,0.01802472791508806,0.006352057602396268,0.0006570671056148971,0.001292902468280597,-0.01984680248662761,0.2869091220895523,0.7013155862686569,Blind,Low PD – Blind,412,0,1,1
Eduardo Gauto,665,ARG,Low,Male,Paralympic,Loss,Pre,0.001463469403242105,0.02604351801605263,0.02791802831736842,0.02643456879473685,0.07475424705263158,0.002468022459473685,-0.09134472689473683,0.323272727368421,0.6821047178947368,Blind,Low PD – Blind,152,0,1,0
Oscar Widegren,666,SWE,Low,Male,Paralympic,Loss,Pre,0.0008612693029565216,0.006784986924302174,0.00646223051652174,0.001115546180434783,0.0005518847960869564,0.001938751619768261,-0.0112564210023913,0.1593140101304348,0.9376477856521739,Blind,Low PD – Blind,449,0,1,0
Daniel Knegt,667,NED,Low,Male,Paralympic,Win,Pre,0.01375526930165898,0.03399235727528205,0.009245142256410255,7.057447735897438e-05,0.000269150485513359,0.009563529638513077,-0.0238621998451282,0.0853945437948718,0.8603520517948717,Blind,Low PD – Blind,123,0,1,1
Ezequiel Fernandes (8),668,ARG,Low,Male,IBSA Men's blind football world games 2023,Win,Pre,0.10184794036,0.16694093604,0.12634435648,0.09339555924000001,0.09416527484,0.105092225,-0.097887463924,0.4592001788,0.4137022696000001,Blind,Low PD – Blind,172,0,1,1
Maximilano Espinillo (15),669,ARG,Low,Male,IBSA Men's blind football world games 2023,Win,Pre,0.03939007558133334,0.02236846815220778,0.01119343263935333,0.02301723647216667,0.00963404386328,0.01201467389807267,0.006861665621994444,0.3685586784444444,0.5251602902222222,Blind,Low PD – Blind,383,0,1,1
Daniel English,700,GBR,Low,Male,Judo Grand Prix Giza Egypt 2025,Loss,Pre,0.03198790189822245,0.001389939941057143,0.06651694279715477,0.04078114107431653,0.003395519411433334,0.03917684163105952,-0.0546813226072143,0.3846743216666666,0.7063397185714285,Sighted,Low PD – Sighted,122,0,0,0
Brandon Coleman,701,GBR,Low,Male,Blind Football Grand Prix Tokyo 2019,Loss,Pre,0.2159415250909091,0.003939145032727272,0.08383113774090908,0.01372117846927273,0.003178888363636364,0.02218047578181818,0.1284182662727273,0.5225580950000001,0.4397694700000001,Blind,Low PD – Blind,90,0,1,0
Darren Harris,702,GBR,Low,Male,Blind Football Grand Prix Tokyo 2019,Loss,Pre,0.1061690129141682,0.005757932862118181,0.004951976118136365,0.0004034828190235909,0.001023520845295137,0.007897796203713637,0.09342254280913637,0.4362557131818182,0.4751847531818182,Blind,Low PD – Blind,130,0,1,0
Minako Tsuchiya,710,JPN,High,Female,Judo Asian Championships Astana 2023,Loss,Pre,7.606429559265625e-06,0.47680312564625,0.01440130783525,6.292668040625e-05,0.0192064855625,0.0244805793940625,-0.4774082708125,0.297720170625,0.2544390866875,Sighted,High PD – Sighted,396,1,0,0
Florencia Massenzana,711,ARG,Low,Female,IBSA Women's blind football world championship Birmingham 2023,Win,Pre,0.02592649962420033,0.02120879435403681,0.04478805795325001,0.0186504954055,0.013759408374925,0.03673521887507501,-0.0345294761675,0.4190496147499999,0.5276956150000001,Blind,Low PD – Blind,187,0,1,1
Sofia Bostrom,720,SWE,Low,Female,IBSA Women's blind football world championship Birmingham 2023,Win,Pre,,,,,,,,,,Blind,Low PD – Blind,534,0,1,1
Lisa Ly,721,SWE,Low,Female,IBSA Women's blind football world championship Birmingham 2023,Win,Pre,,,,,,,,,,Blind,Low PD – Blind,331,0,1,1
Viktoria Karlsson,722,SWE,Low,Female,Paralympic,Loss,Pre,0.1378326282836364,0.0237174759244,0.01440618448090909,0.04537833183285454,0.03043621770271455,0.07529053885963637,0.0517051475781818,0.4995487552727273,0.5099391476363636,Blind,Low PD – Blind,577,0,1,0
Meng Liu  (03),724,CHN,High,Male,IBSA Men's blind football world games 2023,Loss,Pre,0.03351154281818181,0.06150757972727271,0.05952061479545456,0.05530035059090909,0.1239975924545455,0.09221120109090909,-0.1246501614545455,0.5439837759090911,0.4293734981818182,Blind,High PD – Blind,385,1,1,0
Jiabin Zhang (06),725,CHN,High,Male,IBSA Men's blind football world games 2023,Loss,Pre,0.003359485592307692,0.009628300353846155,0.02500394757692307,0.1744515124615384,0.06956433853846153,0.03291426827692308,-0.06620485246153847,0.5322506553846154,0.5110300046153846,Blind,High PD – Blind,269,1,1,0
Yutan Yu  (07),726,CHN,High,Male,IBSA Men's blind football world games 2023,Loss,Pre,0.006679459256,0.0203229902,0.233150688,0.157889409,0.0527488022,0.0296337684,-0.226471223,0.6537348169999999,0.3582371640000001,Blind,High PD – Blind,602,1,1,0
Oja Ronja,731,FIN,Low,Female,Paralympic,Win,Pre,0.000340251747076923,0.01467584824653846,0.0007674575973461539,1.655999957115385e-05,2.9076003345e-06,1.627950574307692e-05,-0.01433727368346154,0.3438092588461539,0.8835349373076922,Blind,Low PD – Blind,438,0,1,1
David Brown,732,USA,Low,Male,Paralympic,Win,Pre,0.0555852012488889,0.008648630016111112,0.04350581106972221,0.02813439303111112,0.1071410765194444,0.03416882162777777,-0.07660831702777778,0.5208111447222223,0.4105634955555556,Blind,Low PD – Blind,133,0,1,1
Elisa Montonen,733,FIN,Low,Female,IPC Athletics European Championships Grosetto 2016,Loss,Pre,0.002012976160714286,0.1328205620714286,0.09868403776190478,0.02152798643738095,0.0540143870047619,0.01842947729428572,-0.1828707219047619,0.3871854492857143,0.547831395952381,Sighted,Low PD – Sighted,159,0,0,0
Ndyebo Lamani,736,RSA,Low,Male,Judo Grand Prix Giza Egypt 2025,Loss,Pre,0.001111666342571429,0.0002002544703928572,0.00035665808525,0.000171266421385,0.0005889263054464286,0.0007425546372857142,8.328597332142851e-05,0.3091268257142857,0.9838454871428572,Sighted,Low PD – Sighted,427,0,0,0
Gokhan Bicer,737,TUR,High,Male,IBSA Judo Grand-prix Portugal 2023,Win,Pre,0.0001744353354857143,6.618552944285715e-06,0.0,0.0,0.0,0.0,0.0001678167816714286,0.1940509907142857,0.716675847857143,Blind,High PD – Blind,203,1,1,1
Yerlan Utepov,738,KAZ,High,Male,IBSA Judo Grand-prix Portugal 2023,Loss,Pre,0.001485829262857143,0.1133915568095238,0.00170779511304762,0.0003456379965,9.237531164285713e-05,0.001069510219142857,-0.1119057274761905,0.1927366780952381,0.8647072014285716,Blind,High PD – Blind,595,1,1,0
Emily Fox (2),741,USA,Low,Female,Olympic,Win,Pre,0.01157915593163333,0.0005291327613333334,0.01629859002166667,0.04705544711666667,0.0006278785672499999,2.174802353333333e-05,-0.004992680554166668,0.30305966,0.5420180058333334,Sighted,Low PD – Sighted,160,0,0,1
Tierna Davidson (12),743,USA,Low,Female,Olympic,Win,Pre,0.0,0.07546936714285714,0.1098809710042857,8.214218689571428e-07,0.0001031668720642857,0.0008649530981428571,-0.1541308076428571,0.3865121542857142,0.5817349107142856,Sighted,Low PD – Sighted,562,0,0,1
Crystal Dunn (7),744,USA,Low,Female,Olympic,Win,Pre,0.002591727191,0.0798020982,0.038268261,0.00373893828,0.0974790851,0.0948505158,-0.1283948876,0.441793409,0.4143084499999999,Sighted,Low PD – Sighted,116,0,0,1
Korbin Albert (3),745,USA,Low,Female,Olympic,Win,Pre,2.827729385384615e-06,0.6131460330769231,0.005257606620000002,0.0,0.0,0.000232754405596923,-0.6131432130769231,0.3744147338461538,0.1992969349230769,Sighted,Low PD – Sighted,304,0,0,1
Samantha Coffey (17),746,USA,Low,Female,Olympic,Win,Pre,0.1820966657692308,0.04992880253846154,0.0009799941369230767,0.001192766854615385,0.002933458415384615,0.01254333966153846,0.1321678637692308,0.06319209926923076,0.8223607123076923,Sighted,Low PD – Sighted,503,0,0,1
Lindsey Horan (10),747,USA,Low,Female,Olympic,Win,Pre,6.739679435e-06,0.009227575760884617,0.4993038645769231,0.0001158265573490769,0.00805412719767904,0.2124568048544231,-0.6560812473076922,0.6436038065384615,0.1615578725769231,Sighted,Low PD – Sighted,329,0,0,1
Trinity Rodmann (5),748,USA,Low,Female,Olympic,Win,Pre,1.911885845454545e-05,0.004065414607272728,0.1138770026363636,0.0003877212501454545,0.009288333323636365,0.1758031578181818,-0.2491054345454545,0.3737024636363637,0.5318563663636362,Sighted,Low PD – Sighted,566,0,0,1
Mallory Swanson (9),749,USA,Low,Female,Olympic,Win,Pre,0.006511020125,0.1729218175,0.01448818304166667,0.002093628204166666,0.002401490045,0.024739506175,-0.1664107987916667,0.07527462408333334,0.5786887879166667,Sighted,Low PD – Sighted,351,0,0,1
Sophia Smith (11),750,USA,Low,Female,Olympic,Win,Pre,0.0007018470358333335,0.2681105791666666,0.01779498933333333,0.0007750896854166666,0.01306436709166667,0.01025374891666667,-0.2674087295833333,0.2802792610833333,0.6237275141666667,Sighted,Low PD – Sighted,538,0,0,1
